,Ground Truths,Max Log-Like,Best b
0,13452,-523.6735833588228,0.44035983202258544
1,13425,-476.8375047542064,0.5862768320743562
2,13542,-507.89630136044997,0.3390221188824283
3,13524,-502.79445374805954,0.41553067840019653
4,13245,-450.3263437404209,0.6424128795768201
5,13254,-506.840513563989,0.5189873082024964
6,14352,-518.9468241784015,0.3930393815799596
7,14325,-483.2882814646736,0.5455805553569861
8,14532,-490.564017162164,0.272589335363135
9,14523,-492.9183618345437,0.332530313493902
10,14235,-465.0762165610994,0.5878887303555121
11,14253,-511.68564633299013,0.44583102373059846
12,15342,-449.74257802790515,0.27503225628928085
13,15324,-451.4069695889967,0.3601299446175425
14,15432,-433.4259518674272,0.20318321996157276
15,15423,-440.8361991119732,0.2717722653796774
16,15234,-446.0382123770539,0.41363280670576824
17,15243,-450.87600572176444,0.34116895177668566
18,12345,-422.5327903406642,0.6858824901492616
19,12354,-488.9860402888508,0.5635920694914198
20,12435,-453.06816993380784,0.6317427776814526
21,12453,-511.1304128197415,0.4940777594273998
22,12534,-492.77884873041603,0.4679369910164648
23,12543,-503.78224958695625,0.40148225894461154
24,31452,-564.5499710718486,0.4500594133803572
25,31425,-515.3881131605375,0.5948704089832881
26,31542,-550.3807532851279,0.35037642210358844
27,31524,-544.0654130978404,0.4255647494350223
28,31245,-487.9791034252296,0.6509639044071834
29,31254,-546.4650879287677,0.5279149521567124
30,34152,-574.3421430802582,0.4808122470388948
31,34125,-517.7308928556763,0.6226688464099661
32,34512,-564.5667538841527,0.3764717602884668
33,34521,-552.5034948434139,0.4632087205198672
34,34215,-475.48905821906567,0.6945579357032583
35,34251,-548.1121602359855,0.5625060931757845
36,35142,-494.95071427525596,0.2886510781716996
37,35124,-495.1855910442996,0.3717521559143313
38,35412,-515.1795889143443,0.3230105283509186
39,35421,-509.9621211081376,0.4167929798405993
40,35214,-502.9138772777264,0.43300181495871826
41,35241,-489.62421157579524,0.4935048050820747
42,32145,-472.5161295216409,0.6999972251485831
43,32154,-542.1492463080433,0.5776634156894892
44,32415,-426.92717295563835,0.7608578595661625
45,32451,-515.359036210449,0.626402604507142
46,32514,-546.0425630451502,0.48833295376144753
47,32541,-527.2882814646747,0.5455805553569861
48,41352,-549.7816094095231,0.398248211279526
49,41325,-512.9060017998058,0.549968970455234
50,41532,-522.3572836972226,0.27907652371961017
51,41523,-524.2349669367741,0.338304628698437
52,41235,-494.3558104817312,0.5921891168450244
53,41253,-542.0996034797513,0.4506615865736354
54,43152,-567.4641422922213,0.44340427437177
55,43125,-519.8993374120165,0.5889628247016616
56,43512,-550.918361834543,0.3325303134939019
57,43521,-544.4906726401877,0.4249418539168488
58,43215,-482.1748427150366,0.6605921544667616
59,43251,-546.4650879287678,0.5279149521567125
60,45132,-462.2310694723892,0.19936971805076614
61,45123,-469.91673450878517,0.2684900052822104
62,45312,-492.71849475859943,0.2660134540678225
63,45321,-494.66719113623583,0.3690382528476832
64,45213,-488.9101429934811,0.3368668060355371
65,45231,-481.34657444894617,0.4323852926649869
66,42135,-488.08658522329637,0.6376105861158246
67,42153,-547.6608846443191,0.500358594817863
68,42315,-440.8449014772386,0.7136847495719303
69,42351,-518.0923240001232,0.581435383827727
70,42513,-541.7816094095231,0.398248211279526
71,42531,-525.9913051962072,0.48602534202980285
72,51342,-369.378108079849,0.270133943886838
73,51324,-371.5553012327767,0.35597152150023986
74,51432,-352.62789107749126,0.1974503262504033
75,51423,-360.4520671511701,0.26684039881595545
76,51234,-366.5086058173328,0.40982091566260787
77,51243,-370.9101429934811,0.3368668060355371
78,53142,-412.09898803993843,0.28548077504008396
79,53124,-412.66719113623566,0.3690382528476832
80,53412,-432.46572109104716,0.3200476245267122
81,53421,-427.62425899540904,0.41426602304859605
82,53214,-420.64096262157875,0.4305325613592821
83,53241,-407.59367059257,0.4912096224388963
84,54132,-386.4299601101142,0.1984110547973454
85,54123,-394.184813260395,0.2676659137332258
86,54312,-416.98409465346754,0.2651850729781174
87,54321,-419.03589271104767,0.36835781554681224
88,54213,-413.2466515795004,0.33614646566055156
89,54231,-405.77865474718686,0.4317682444074412
90,52134,-392.99192904180904,0.43852719938450563
91,52143,-400.6671911362352,0.3690382528476831
92,52314,-400.0845996661998,0.4906349775824076
93,52341,-381.1015259834199,0.5477734444341738
94,52413,-412.14279834718025,0.40726748274640356
95,52431,-395.1304128197415,0.4940777594273998
96,21345,-439.2459819125292,0.708744967711008
97,21354,-510.8375047542059,0.5862768320743562
98,21435,-472.0636131680936,0.654171208402501
99,21453,-535.8773858172148,0.5178673628200036
100,21534,-518.6100889547382,0.4923578899583851
101,21543,-532.3581526682226,0.42805083655959
102,23145,-424.99583144117173,0.7562630681230841
103,23154,-507.06816993380755,0.6317427776814526
104,23415,-373.066969834504,0.8213582464616156
105,23451,-475.3647673979016,0.680483193980484
106,23514,-519.8335987887624,0.5450318354395104
107,23541,-495.4125120613692,0.6002268783850111
108,24135,-462.40765024031975,0.6891285932313599
109,24153,-535.0427714662854,0.5537944694366751
110,24315,-407.7550794193068,0.7677851092184225
111,24351,-497.8035936158416,0.6328095825962481
112,24513,-538.6483590754497,0.45785693877826605
113,24531,-514.716724928232,0.5400841249382036
114,25134,-475.90724802977445,0.4427963709129775
115,25143,-484.06727923717807,0.37377943276372233
116,25314,-482.636041128807,0.494650380383375
117,25341,-463.25361164258425,0.5516095768618409
118,25413,-495.27626844045494,0.4117295742129912
119,25431,-477.6577977267284,0.4980791920527316
