,Ground Truths,Max Log-Like,Best b
0,1234,-59.657330568293524,0.5482055809762723
1,1243,-59.13944802903731,0.6236984358714297
2,1324,-59.19904170634458,0.5351825177848548
3,1342,-59.1026631366248,0.5610964379894001
4,1423,-59.50963992812462,0.6358891716776581
5,1432,-59.75701279700724,0.6114008645789695
6,2134,-71.19904170634459,0.5351825177848548
7,2143,-70.75701279700723,0.6114008645789695
8,2314,-75.50963992812461,0.635889171677658
9,2341,-68.07541876924385,0.9308633782309562
10,2413,-75.55775998979144,0.7532268547669668
11,2431,-69.19175796294056,0.9527659199443578
12,3124,-70.2334086884734,0.48156938347196154
13,3142,-70.24302650792467,0.5086929775966166
14,3214,-75.13944802903731,0.6236984358714297
15,3241,-68.00082240805993,0.9199140414067705
16,3412,-75.54772668757202,0.6719026289992156
17,3421,-69.00082240805993,0.9199140414067705
18,4123,-73.1394480290373,0.6236984358714299
19,4132,-73.36222953010602,0.5990010251175484
20,4213,-77.30528877166599,0.7418007466958063
21,4231,-71.13906385981551,0.9418170976877867
22,4312,-78.54772668757202,0.6719026289992156
23,4321,-72.00082240805992,0.9199140414067706
