,Ground Truths,Max Log-Like,Best b,Best phi
0,1234,-884.8486480925123,0.0,0.07786599951627754
1,1243,-885.2171706422317,0.0,0.0695646133383441
2,1324,-886.6770186670776,0.5,0.0
3,1342,-886.6770186670776,0.5,0.0
4,1423,-886.3122052012685,0.0,0.03477447362494899
5,1432,-886.6770027035224,0.4968401762051852,0.0006096247749268253
6,2134,-886.6770186670776,0.5,0.0
7,2143,-886.6770186670776,0.5,0.0
8,2314,-886.6770186670776,0.5,0.0
9,2341,-886.6770186670776,0.5,0.0
10,2413,-886.6770186670776,0.5,0.0
11,2431,-886.6770186670776,0.5,0.0
12,3124,-885.8819122774744,0.0,0.05132449722745594
13,3142,-886.6330102535617,0.36622346591202126,0.021132132051255696
14,3214,-886.6770186670776,0.5,0.0
15,3241,-886.6770186670776,0.5,0.0
16,3412,-886.6288462230817,0.5,0.03547139752922742
17,3421,-886.6307855003636,0.5,0.0375714996269066
18,4123,-886.476574944809,0.5,0.06286219901321226
19,4132,-886.477314840183,0.5,0.06388788957577314
20,4213,-886.6140405571047,0.5,0.04039063158003409
21,4231,-886.6145562743455,0.5,0.04094507525212867
22,4312,-886.3822700651289,0.5,0.07645882527891408
23,4321,-886.3842890780878,0.5,0.07853809200829703
