,Ground Truths,Max Log-Like,Best b
0,1234,-7324.353120297103,0.4797402187602863
1,1243,-6719.171275072619,0.8330162624156078
2,1324,-6704.634503248861,0.32887078882375576
3,1342,-6777.182385752077,0.408081333471093
4,1423,-6611.791583810843,0.8790506136592097
5,1432,-7182.920535218131,0.6539064589438461
6,2134,-8117.977717763643,0.5413689443707768
7,2143,-7340.362752013871,0.8838474556748381
8,2314,-8082.465902779283,0.4991132695908056
9,2341,-7649.621526769212,0.8068569927241316
10,2413,-6572.876671370195,1.1047164794566342
11,2431,-6895.006987939283,1.0528646291579868
12,3124,-6580.18367369028,0.28408823460093535
13,3142,-6676.415088203913,0.36718641869870106
14,3214,-7242.307871388466,0.4371168415680637
15,3241,-6959.894466956312,0.7566104068856002
16,3412,-7322.50585294306,0.5667595453799132
17,3421,-6936.210792469699,0.7971868157297977
18,4123,-7099.766195329475,0.9759767630313266
19,4132,-7881.86714320524,0.757033012160398
20,4213,-6534.131892612481,1.1346337737349341
21,4231,-6870.967805239751,1.0821683693342006
22,4312,-7994.925630020803,0.7094014578220109
23,4321,-7326.371394116202,0.9269315608605055
