,Ground Truths,Max Log-Like,Best b,Best phi
0,1234,-59.59311156361137,0.5,1.1746389551658818
1,1243,-59.593111799792354,0.5,1.174473762288279
2,1324,-58.99297315610705,0.5,1.2259329913640222
3,1342,-58.9929731992214,0.5,1.2258860379342322
4,1423,-60.16781827340999,0.5,1.124083193577719
5,1432,-60.167818193672495,0.5,1.124136945545052
6,2134,-66.19923147309675,0.0,0.15467723560215052
7,2143,-66.56315356075726,0.0,0.08807829974095961
8,2314,-66.73913043730688,0.5,0.0
9,2341,-66.73913043730688,0.5,0.0
10,2413,-66.73913043730688,0.5,0.0
11,2431,-66.73913043730688,0.5,0.0
12,3124,-65.63420853516187,0.0,0.2221963760932424
13,3142,-65.84507865159425,0.0,0.19955520985083106
14,3214,-66.73913043730688,0.5,0.0
15,3241,-66.73913043730688,0.5,0.0
16,3412,-66.73913043730688,0.5,0.0
17,3421,-66.73913043730688,0.5,0.0
18,4123,-66.73913043730688,0.5,0.0
19,4132,-66.73913043730688,0.5,0.0
20,4213,-66.73913043730688,0.5,0.0
21,4231,-66.73913043730688,0.5,0.0
22,4312,-66.73913043730688,0.5,0.0
23,4321,-66.73913043730688,0.5,0.0
