,Ground Truths,Max Log-Like,Best b
0,1234,-944.9756376349948,0.6132580209674108
1,1243,-943.7966663875541,0.6225133233226019
2,1324,-947.9249643331394,0.6252770924786872
3,1342,-941.8580260931204,0.6634566160069308
4,1423,-939.8226214240692,0.658059240037735
5,1432,-936.1279631924185,0.6777642502271519
6,2134,-953.4164769492122,0.6289540437980392
7,2143,-952.0810599723686,0.6381068857315024
8,2314,-947.5919299589729,0.6444811290908181
9,2341,-936.0997926071389,0.7034091958495021
10,2413,-933.2790973847092,0.7069178212512701
11,2431,-931.1660553741523,0.7156673363639593
12,3124,-940.2359652937669,0.6435721414406913
13,3142,-933.409746076639,0.6813277289613829
14,3214,-944.1941135122772,0.664354448068387
15,3241,-931.4127712763092,0.7226353637277797
16,3412,-917.3048009922242,0.741677644272913
17,3421,-907.5011503616338,0.7742117154134988
18,4123,-917.3329835863625,0.7287129062016914
19,4132,-912.0918741846361,0.7477078593878348
20,4213,-912.571789020649,0.7562873436133353
21,4231,-909.9660467111817,0.7648360454069014
22,4312,-907.299046505963,0.7588551173429746
23,4321,-896.8470185499448,0.7911656307563288
