,Ground Truths,Max Log-Like,Best b
0,12345,-29169.05831563106,0.4612845636634362
1,12354,-29261.440193602564,0.4536958246203743
2,12435,-29326.802401598296,0.4649191869346311
3,12453,-29273.901203097987,0.4689101681247814
4,12534,-29477.651757835512,0.4517887030040049
5,12543,-29357.67521086923,0.461710610752404
6,13245,-28497.24433339979,0.46390835645125383
7,13254,-28591.587703730318,0.4563485375615166
8,13425,-28522.22915478664,0.4626633467648295
9,13452,-28640.26836053537,0.4529991332025479
10,13524,-28601.955910598565,0.4489501854319602
11,13542,-28613.00826167961,0.44796043578555933
12,14235,-29085.973381415577,0.4694227945177484
13,14253,-29031.29251137658,0.4733928174529096
14,14325,-28912.748306181034,0.46120338678229006
15,14352,-29029.394986178497,0.4515217467634149
16,14523,-28903.38162415071,0.46939264854362134
17,14532,-29114.83302437168,0.4525787713660958
18,15234,-29239.208686478956,0.45002098777415467
19,15243,-29120.94013931757,0.4599644417638754
20,15324,-28947.82144478825,0.4439989913641821
21,15342,-28958.398065316236,0.4430028036242019
22,15423,-28869.77513579075,0.4647676404374412
23,15432,-29073.487414605257,0.4478572638094175
24,21345,-29696.667172068355,0.4693223038000501
25,21354,-29795.057548347115,0.4618120180119043
26,21435,-29851.531274456953,0.4729225793579039
27,21453,-29795.46728754039,0.47687671564030054
28,21534,-30012.77993423521,0.45992378881122425
29,21543,-29884.946497750927,0.46974428544724994
30,23145,-29327.649166876447,0.4782903156963855
31,23154,-29432.742280862167,0.4708585232932983
32,23415,-29367.32181650962,0.4881306897978712
33,23451,-29190.441278541817,0.49893705110167313
34,23514,-29520.23564124676,0.47677708166451965
35,23541,-29284.390652923128,0.4921970781871823
36,24135,-29749.761895732754,0.4858147292928835
37,24153,-29688.60426180206,0.48971411006493665
38,24315,-29566.527116899535,0.4906373818290336
39,24351,-29386.893713383623,0.5014165210042011
40,24513,-29360.400761257406,0.5033958076387746
41,24531,-29331.6917676056,0.5050283136942033
42,25134,-29967.432281492747,0.46892022258429894
43,25143,-29830.902600317237,0.4786383947501948
44,25314,-29752.14066258233,0.47468217102246124
45,25341,-29519.53719139309,0.49013656786227267
46,25413,-29442.035575042264,0.496988124684858
47,25431,-29414.40256142298,0.4986254755618155
48,31245,-28023.54235912637,0.4752413006524784
49,31254,-28126.356755503293,0.46778331599717354
50,31425,-28049.922465707477,0.47401274395945014
51,31452,-28178.7848221208,0.46448468001782933
52,31524,-28145.00800847617,0.4604927460767769
53,31542,-28157.168936651466,0.45951714777328845
54,32145,-28381.08132002844,0.4863967187017367
55,32154,-28492.227788182707,0.4790260951134338
56,32415,-28412.741177009066,0.4961489222759723
57,32451,-28227.053807826138,0.5068755404324657
58,32514,-28574.900496595892,0.4848966209244214
59,32541,-28326.49645876208,0.5001823991732551
60,34125,-28319.686607273947,0.47924472405389584
61,34152,-28453.537199876195,0.46977441902821426
62,34215,-28227.46211192538,0.4991512037813019
63,34251,-28038.4763147515,0.5098476588216565
64,34512,-28417.649166875966,0.4782903156963855
65,34521,-27991.343164336577,0.5047281994880367
66,35124,-28355.852546775415,0.4639386992210463
67,35142,-28368.34454261034,0.462967180192163
68,35214,-28405.371855080448,0.48189904972653
69,35241,-28161.607615623427,0.49723194692111683
70,35412,-28377.24036371474,0.4739427742811647
71,35421,-27962.485346846668,0.5004934989121381
72,41235,-29213.851499296812,0.477703246993908
73,41253,-29155.89800771188,0.48164137727101347
74,41325,-29047.40038599038,0.4695634616719329
75,41352,-29172.02018087077,0.45998476748074385
76,41523,-29031.28459042661,0.4776733857261607
77,41532,-29256.587379265882,0.46103085924587
78,42135,-29287.419039779637,0.49443905430922397
79,42153,-29222.85218702763,0.49830406283388823
80,42315,-29099.967752465902,0.499219333801701
81,42351,-28910.90709930787,0.5099151128520494
82,42513,-28882.682649593986,0.511879106079028
83,42531,-28852.550076055664,0.5134939131093867
84,43125,-28762.23564124714,0.47677708166451965
85,43152,-28893.73363886723,0.46727977336186005
86,43215,-28674.95418404954,0.4967344866092419
87,43251,-28488.62352786261,0.5074551643046188
88,43512,-28859.961109146105,0.47582002508082394
89,43521,-28440.21908192316,0.5023193112286021
90,45123,-28843.39347434885,0.4890554903677034
91,45132,-29087.714668377754,0.4726222944437733
92,45213,-28556.955077195424,0.5120618500398643
93,45231,-28526.79181737333,0.5136763940062687
94,45312,-28954.339555091432,0.4766076782272911
95,45321,-28532.504791062693,0.5030855804898984
96,51234,-29318.00204872856,0.4565628874752023
97,51243,-29193.416521239076,0.4664230615393444
98,51324,-29030.441586570123,0.4505866813535675
99,51342,-29041.65118082254,0.4495990210181126
100,51423,-28939.198260002682,0.47118950484428507
101,51432,-29153.655838288985,0.45441236577587024
102,52134,-29535.77232497815,0.4713900378854703
103,52143,-29396.85464927612,0.4810861436910816
104,52314,-29319.064904201226,0.47713571168300134
105,52341,-29082.66495217572,0.49254986923720084
106,52413,-29003.47946495669,0.49938477341600934
107,52431,-28975.444019270988,0.5010182657550708
108,53124,-28719.93405619395,0.45883556859132674
109,53142,-28731.935773039542,0.45785797851190707
110,53214,-28778.513497206313,0.47689664109377017
111,53241,-28542.48349754158,0.4923146894058601
112,53412,-28746.370114647252,0.4689001135466474
113,53421,-28345.006259433845,0.49559231738579435
114,54123,-28792.655733814314,0.485064514619994
115,54132,-29030.307122607894,0.4685581872506162
116,54213,-28515.55312888079,0.5081599538189359
117,54231,-28486.045057897507,0.509780200644484
118,54312,-28898.550265768397,0.47256222500468037
119,54321,-28487.46211192656,0.49915120378130207
