,Ground Truths,Max Log-Like,Best b,Best phi
0,1425673,-1119.551242938483,0.2,0.4031551206800364
1,1425637,-1117.1332091376166,0.2,0.3733657319635007
2,1425763,-1122.7047231844074,0.2,0.4128275176014339
3,1425736,-1122.8172992343968,0.2,0.4140222425960812
4,1425367,-1117.096233549836,0.2,0.3777677328179424
5,1425376,-1119.2891836103,0.2,0.40481844830029934
6,1426573,-1120.5332602345027,0.2,0.4042362536711591
7,1426537,-1118.0588948844847,0.2,0.37468304179546785
8,1426753,-1125.0103423912399,0.2,0.4227997914066192
9,1426735,-1125.4725228785453,0.2,0.42738070251733035
10,1426357,-1118.4565507282846,0.2,0.38058833897389344
11,1426375,-1121.813286157608,0.2,0.41933339777927603
12,1427563,-1128.0616885435961,0.2,0.41583109198892987
13,1427536,-1128.184784169535,0.2,0.416978170616504
14,1427653,-1128.9066436648698,0.2,0.4205464823503904
15,1427635,-1129.4007798381517,0.2,0.4250382291653365
16,1427356,-1128.3726182691737,0.2,0.4273244723897531
17,1427365,-1129.0978864670146,0.2,0.4339574413204127
18,1423567,-1117.1496606774442,0.2,0.3903141145431487
19,1423576,-1119.3174592432351,0.2,0.4166605783562095
20,1423657,-1117.9812732117273,0.2,0.39386534148723995
21,1423675,-1121.2469357970458,0.2,0.4316486501415699
22,1423756,-1123.6044922591102,0.2,0.43725896558590366
23,1423765,-1124.2649131845862,0.2,0.44393629503325893
24,1452673,-1118.0119486650872,0.2,0.4060297295471454
25,1452637,-1115.6947104662274,0.2,0.3761728856032479
26,1452763,-1121.1396494120318,0.2,0.4156184865542872
27,1452736,-1121.2483196303206,0.2,0.4168171853992322
28,1452367,-1115.6416531874038,0.2,0.38060814977350105
29,1452376,-1117.7432412045014,0.2,0.40771914678479015
30,1456273,-1116.8599242380656,0.2,0.4109797240251062
31,1456237,-1114.6221640506476,0.2,0.38126085689594547
32,1456723,-1117.7714330477866,0.2,0.4161024560565975
33,1456732,-1116.6693482426037,0.2,0.40239291224691975
34,1456327,-1099.01620768636,0.0,0.11405720939726757
35,1456372,-1100.5425155065027,0.0,0.1041399828658326
36,1457263,-1122.8252553138714,0.2,0.40713170651477837
37,1457236,-1122.9390825441076,0.2,0.40834084059299686
38,1457623,-1121.7333407105878,0.2,0.4112403270251169
39,1457632,-1120.5204818022135,0.2,0.3976995689173023
40,1457326,-1121.5812963894018,0.2,0.39711532290720614
41,1457362,-1121.019803300089,0.2,0.3908247432553795
42,1453267,-1100.3329702858468,0.0,0.10555252946045279
43,1453276,-1116.0659020416065,0.2,0.4039668660253038
44,1453627,-1099.2427581178347,0.0,0.11263756816487766
45,1453672,-1100.7492315969287,0.0,0.10272733798481105
46,1453726,-1117.5652889616338,0.2,0.39854018790092854
47,1453762,-1117.0564722156887,0.2,0.3921207789354756
48,1462573,-1119.6268679735172,0.2,0.40497944879237163
49,1462537,-1117.2087870246949,0.2,0.37532069222849085
50,1462753,-1124.0703635369844,0.2,0.42356303214587515
51,1462735,-1124.5244857338955,0.2,0.4281630239698314
52,1462357,-1117.5949930724964,0.2,0.3812480780906874
53,1462375,-1120.879227788061,0.2,0.4201362910239205
54,1465273,-1117.9468182783255,0.2,0.4102047314472927
55,1465237,-1115.6416531874036,0.2,0.38060814977350105
56,1465723,-1118.8697504132892,0.2,0.41531791142625263
57,1465732,-1117.737487406006,0.2,0.4016703630975153
58,1465327,-1100.332970718966,0.0,0.10555663828870811
59,1465372,-1114.844976988133,0.2,0.38331344594961125
60,1467253,-1125.8206887846584,0.2,0.41424292261065776
61,1467235,-1126.2964136748205,0.2,0.4188904691501389
62,1467523,-1124.3171942327529,0.2,0.41581056513936826
63,1467532,-1123.0486220073337,0.2,0.4026208139466409
64,1467325,-1125.092209453758,0.2,0.4037399732843398
65,1467352,-1124.1369187332825,0.2,0.3939829848237468
66,1463257,-1116.214239224122,0.2,0.37205391565106327
67,1463275,-1119.412810325056,0.2,0.411993183483522
68,1463527,-1101.1541819266579,0.0,0.09990040292043689
69,1463572,-1115.9413744603085,0.2,0.37442129576695116
70,1463725,-1120.9814112766815,0.2,0.40563635984935775
71,1463752,-1120.1060268486485,0.2,0.3956706248278907
72,1472563,-1130.2099225198292,0.2,0.39403363101016703
73,1472536,-1130.3429091026865,0.2,0.3952204406593915
74,1472653,-1131.0855068620256,0.2,0.3989746259789499
75,1472635,-1131.6190861224613,0.2,0.40362130185399847
76,1472356,-1130.648804969755,0.2,0.40575346287541764
77,1472365,-1131.432484945894,0.2,0.412617642593443
78,1475263,-1128.8488920286097,0.2,0.3931111928172349
79,1475236,-1128.97916396945,0.2,0.39431094242643444
80,1475623,-1127.8338077491385,0.2,0.3969085401924014
81,1475632,-1126.4358457533253,0.2,0.38345867334854816
82,1475326,-1127.4727836315003,0.2,0.3831076957668836
83,1475362,-1126.8250141815636,0.2,0.37686248679829953
84,1476253,-1130.2065941618416,0.2,0.39896418716205456
85,1476235,-1130.7329753316276,0.2,0.40363768068440703
86,1476523,-1128.7509852172195,0.2,0.40026120700107454
87,1476532,-1127.3392623332304,0.2,0.3869878063801144
88,1476325,-1129.3577242909523,0.2,0.38845860363093987
89,1476352,-1128.2964171907454,0.2,0.3786477940230282
90,1473256,-1129.2079643184168,0.2,0.3927999342073261
91,1473265,-1129.994405515434,0.2,0.39992556090604897
92,1473526,-1128.2285893153344,0.2,0.38086031984700713
93,1473562,-1127.568892890788,0.2,0.3746166793516744
94,1473625,-1129.4719586904562,0.2,0.3902083682535142
95,1473652,-1128.4121921564847,0.2,0.3804410360644915
96,1432567,-1115.64663738558,0.2,0.38378830625396293
97,1432576,-1117.7429659817308,0.2,0.4107218113584512
98,1432657,-1116.4592548655633,0.2,0.3874211921983968
99,1432675,-1119.629804367485,0.2,0.4260642677063055
100,1432756,-1121.9555167695348,0.2,0.431840204912152
101,1432765,-1122.602825623755,0.2,0.4386744162323811
102,1435267,-1101.1541818168228,0.0,0.09989937086741768
103,1435276,-1116.8697326140395,0.2,0.40187246899047413
104,1435627,-1100.1205950935941,0.0,0.1069708709172833
105,1435672,-1114.9702696054187,0.2,0.37762126330273577
106,1435726,-1118.3548304557614,0.2,0.39651188242741
107,1435762,-1117.8345027236555,0.2,0.3900929714060278
108,1436257,-1116.1407714077604,0.2,0.37711305865929123
109,1436275,-1119.3174592432347,0.2,0.4166605783562094
110,1436527,-1101.352419399133,0.0,0.0984901225427542
111,1436572,-1115.862178050158,0.2,0.3794756651234406
112,1436725,-1120.907779587418,0.2,0.41028840250391585
113,1436752,-1120.0390816171825,0.2,0.4004205513447584
114,1437256,-1124.3163464821869,0.2,0.4124225098258126
115,1437265,-1125.0134331516533,0.2,0.4194655271792828
116,1437526,-1123.495191127963,0.2,0.4005517921528034
117,1437562,-1122.9132998067978,0.2,0.39438081829735677
118,1437625,-1124.628441242033,0.2,0.4097409056167264
119,1437652,-1123.6908124114643,0.2,0.4000847999766679
120,1245673,-1120.0857608567946,0.2,0.40933472271710913
121,1245637,-1117.6517705468818,0.2,0.380035128835317
122,1245763,-1123.2679750652815,0.2,0.4187607909339536
123,1245736,-1123.3807221260158,0.2,0.4199354047645339
124,1245367,-1117.6122332313857,0.2,0.38437936084919594
125,1245376,-1119.819447990878,0.2,0.41098512938300036
126,1246573,-1121.0787898088217,0.2,0.4103650904100747
127,1246537,-1118.590551345375,0.2,0.3813011294907232
128,1246753,-1125.5880544953961,0.2,0.4285162342510731
129,1246735,-1126.0500530039956,0.2,0.4330199905557964
130,1246357,-1118.9906532803832,0.2,0.3871125184421211
131,1246375,-1122.3614953291744,0.2,0.4252119759029442
132,1247563,-1128.676856475218,0.2,0.4215277291483928
