2018-10-25 00:17:07.743168

Experiment Configuration 
 {'optimization': 'optimizations.Unweighted', 'optimization_params': {}, 'heuristic': 'heuristics.No_Heuristic', 'heuristic_params': {}, 'weight': 'rankobjects.Arithmetic', 'data_file': 'data/simulated/sim_5_100.csv'} 
Unweighted max log likelihood for [5 2 1 3 4] is -624.297175
Unweighted max log likelihood for [5 2 1 4 3] is -654.297175
Unweighted max log likelihood for [5 2 3 1 4] is -692.297175
Unweighted max log likelihood for [5 2 3 4 1] is -766.297175
Unweighted max log likelihood for [5 2 4 1 3] is -728.297175
Unweighted max log likelihood for [5 2 4 3 1] is -796.297175
Unweighted max log likelihood for [5 3 1 2 4] is -698.297175
Unweighted max log likelihood for [5 3 1 4 2] is -762.297175
Unweighted max log likelihood for [5 3 2 1 4] is -736.297175
Unweighted max log likelihood for [5 3 2 4 1] is -810.297175
Unweighted max log likelihood for [5 3 4 1 2] is -836.297175
Unweighted max log likelihood for [5 3 4 2 1] is -874.297175
Unweighted max log likelihood for [5 4 1 2 3] is -754.297175
Unweighted max log likelihood for [5 4 1 3 2] is -798.297175
Unweighted max log likelihood for [5 4 2 1 3] is -792.297175
Unweighted max log likelihood for [5 4 2 3 1] is -860.297175
Unweighted max log likelihood for [5 4 3 1 2] is -866.297175
Unweighted max log likelihood for [5 4 3 2 1] is -904.297175

Optimal ground truth was (1, 2, 3, 4, 5) with (phi, b, max_log_like) = (1.000000, 0.000000, -418.297175)

--- 1.4981980323791504 seconds ---
